canonical_smiles,standard_value
CC(=O)c1c(-c2ccc(O)cn2)oc2ccc(O)c(CN3CCC3)c12,0.7
Cc1c(C(N)=O)nc2n1CCOc1cc(F)c(C#CC(C)(C)O)cc1-2,2.2
CC(=O)N(C)C1CCCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1,3.1
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,-1.22
C/N=C(\S)NCCCCC(NC(=O)C(Cc1ccccc1)NS(=O)(=O)N(C)C)C(=O)NC(CC1CCCCC1)[C@@H](O)CC(=O)N1CCOC(CCN)C1,2.41
Cc1nc(C)c(C(=O)N2CCCC(c3cc4ncccc4[nH]3)C2)o1,2.15
CCN(C)c1nc(=O)n(-c2cccnc2)c2cc(Cl)ccc12,1.2
Cn1cc(-c2ccnc(N3CCn4c(cc5c4CC(C)(C)C5)C3=O)c2CO)cc(NC(=O)CN2CCOCC2)c1=O,2.3
CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4cc(F)c(-c5ccc(CS(C)(=O)=O)nc5)cc4c32)C1,1.3
CCNC(=O)c1cc2c(N[C@@H](c3ccc4c(c3)OCCO4)C(C)C)ncnc2[nH]1,3.3
CNCc1cc(-c2ccccc2C)n(S(=O)(=O)c2ccc(C)cc2)c1,2.12
O=C(NC1N=C(c2ccncc2)c2ccccc2NC1=O)c1ccccc1CN1CCOCC1,2.6
Cc1ccc(O)cc1,1.9
OCCNc1nc(NCc2ccco2)c2ccccc2n1,2.19
C[C@@H]1CN(c2nc(C(F)(F)F)no2)CCN1c1ncc(OCc2ccc(S(C)(=O)=O)cc2F)cn1,3.7
C[C@@H]1Cc2cc(O)ccc2[C@@H](c2ccc(/C=C/C(=O)O)cc2)N1c1ccc(OC(F)(F)F)cc1,4.2
CS(=O)(=O)NC1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1,2.4
CC(=O)N1c2ccccc2N(Cc2ccccc2C(N)=O)CC1C1CC1,3.9
Cc1ccc(Oc2ncccc2/C(=N/O)NC2CCCCC2)cc1,4.32
COc1ccc(-c2cc(-c3ccc(S(C)(=O)=O)cc3)ccc2N)cn1,2.8
COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ncc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)c1,3.2
Cc1ccc2c(c1)c(-c1ccnc3ccc(C(F)(F)F)cc13)c(C)n2CC(=O)O,1.8
C[C@@H]1CN2c3c(cc4c(OC[C@@H]5COC(=O)N5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@H]2[C@H](C)O1,1.3
CN1CC[C@@](O)(C#Cc2cccc(-n3nc(C(N)=O)c4ccccc43)c2)C1=O,2.1
CN(O)C(=O)c1cc2ccn(Cc3ccc(F)cc3)c2cn1,2.04
O=C1NCCN1c1cc(S(=O)(=O)Nc2ccc(F)cc2F)cc2c1N(C(=O)Nc1ccc(C(F)(F)F)cc1)CC2,2.5
